"",BD_ID1,BD_ID2,BD_ID3,BD_ID4,BD_ID5,BD_ID6,BD_ID7,BD_ID8,BD_ID9,BD_ID10,BD_ID11,CTR_ID1,CTR_ID2,CTR_ID3,CTR_ID4,CTR_ID5,CTR_ID6,CTR_ID7,CTR_ID8,CTR_ID9,CTR_ID10,CTR_ID11,CTR_ID12,CTR_ID13,CTR_ID14,CTR_ID15,MDD_ID1,MDD_ID2,MDD_ID3,MDD_ID4,MDD_ID5,MDD_ID6,MDD_ID7,MDD_ID8,MDD_ID9,MDD_ID10,MDD_ID11,SCZ_ID1,SCZ_ID2,SCZ_ID3,SCZ_ID4,SCZ_ID5,SCZ_ID6,SCZ_ID7,SCZ_ID8,SCZ_ID9,SCZ_ID10,SCZ_ID11,SCZ_ID12,SCZ_ID13
HSF1,7.593522,7.414498,7.551313,7.604576,7.818765,7.452378,7.505604,7.570283,7.905238,7.704259,7.670232,7.340414,7.528332,7.5056,7.69391,7.530264,7.551225,7.755854,7.818414,7.797643,7.798849,7.920526,7.86206,7.743096,7.738984,7.742929,7.625776,7.823847,8.057398,7.849767,7.603497,7.807658,7.782184,7.848711,7.659501,7.931121,7.764101,7.596976,7.841152,7.753763,7.559789,7.684184,7.67099,7.432087,7.460204,7.967542,7.468519,7.908966,7.74495,7.751262
PDLIM5,4.19469,4.300449,4.141026,4.067548,4.296824,4.309824,4.394849,4.16677,4.649225,3.909871,4.503751,4.692891,4.582024,4.782004,4.622543,4.624847,4.844545,4.50484,4.417823,4.575403,4.631696,4.714076,4.500377,4.674577,4.605882,4.711818,4.229397,4.167312,4.281362,4.753488,4.204984,4.361431,4.144499,4.38302,4.229146,4.400152,4.246113,4.844835,4.717912,4.620235,4.466328,4.593792,4.412848,4.353382,4.909934,4.74444,4.832742,4.481445,4.358351,4.708964
MSX2,3.91224,3.84105,3.701938,3.912098,3.703137,3.700736,3.969032,3.65019,3.896163,3.918197,3.739111,5.316424,5.217996,5.03437,5.409852,5.112273,5.244062,5.140327,5.12902,4.721838,5.286536,5.547949,4.89766,4.890052,4.869763,5.184156,3.624704,3.99695,3.765337,3.915079,3.848671,3.725306,3.898827,3.878943,3.906616,3.921598,3.881678,5.032185,4.794092,4.97302,5.159254,5.144413,4.642745,5.264164,5.269129,4.87006,5.179121,4.952265,4.946937,5.214099
PML,6.565121,6.569837,6.551878,6.570909,6.629373,6.553288,6.677511,6.553654,6.480951,6.526635,6.675185,7.330089,7.225315,7.30596,7.316944,7.709876,7.497285,7.131602,7.453597,7.275461,7.307404,7.262027,7.269258,7.266297,7.161371,7.180416,6.682785,6.621294,6.663908,6.867981,6.849615,6.664133,6.55716,6.594377,6.815967,6.649274,6.817638,7.271503,7.312671,6.941866,7.559706,7.29431,6.902887,7.276607,7.421127,7.168311,7.553754,7.272436,7.148963,7.017256
DEDD,6.043961,5.914945,6.169624,5.811971,5.874334,6.040275,5.941909,6.045629,6.093379,6.216374,5.90228,5.944118,6.107237,6.31697,6.041116,6.124517,5.819822,5.89681,5.961567,6.023977,6.119039,6.001992,6.125375,5.98728,6.008541,5.990403,6.170577,6.140738,6.142714,6.304331,6.35942,6.139752,5.918746,6.293965,6.19412,6.134906,6.121947,5.946706,6.365684,6.048708,5.925852,5.990342,6.157977,5.953432,6.041752,5.999675,6.207576,6.100354,6.034036,6.134458
RAB8A,6.235237,6.353685,6.318565,6.209181,6.272028,6.468419,6.246321,6.351017,6.258136,6.637794,6.493603,6.236853,6.371022,6.396871,6.398535,6.439216,6.424311,6.470269,6.529503,6.292468,6.572927,6.464621,6.480854,6.668884,6.561993,6.523891,6.472678,6.364704,6.156569,6.439064,6.528779,6.532569,6.794591,6.771773,6.490523,6.551998,6.554276,6.110287,6.369568,6.367855,6.271178,6.373744,6.294706,6.392375,6.388216,6.225772,6.30289,6.398851,6.316914,6.501189
ELF3,4.879226,4.481001,4.630118,4.943885,4.642466,4.624869,4.515094,4.670392,4.605525,4.488687,4.5047,4.442933,4.519279,4.567253,4.48104,4.435011,4.606393,4.175075,4.522027,4.310708,4.287602,4.270632,4.277003,4.336133,4.316118,4.326183,4.422862,4.640296,4.59484,4.848538,4.206409,4.334577,4.187109,4.08123,4.513426,4.244708,4.282222,4.869611,4.349438,4.39036,4.774025,5.161367,4.138501,4.572272,4.335925,4.495776,4.648687,4.117651,4.2827,4.271125
CDC5L,2.918337,2.742434,2.814158,2.760304,2.8702,2.748367,2.831504,2.76849,2.861687,2.910959,2.828363,2.80353,2.854854,2.76373,2.485268,2.735147,2.665962,2.652879,2.717745,2.552579,2.812272,2.398805,2.532268,2.582536,2.560819,2.5824,2.976225,2.668242,2.509241,2.705367,2.75266,2.660373,2.385198,2.613282,2.607182,2.844678,2.744819,2.684717,2.758058,2.669576,2.811586,2.695557,2.910433,2.815312,2.873101,2.800415,2.907908,2.965977,2.841674,2.755937
ZNF211,4.448121,4.722869,4.285932,4.690489,4.267327,4.328995,4.376896,4.39676,4.793549,4.824614,4.56972,4.620693,4.448297,4.758533,4.662692,4.792239,4.68287,4.646707,4.92922,4.828429,4.825383,4.654344,4.776994,4.550013,4.641233,4.809849,4.963731,4.606721,4.532454,4.999643,4.657064,4.793825,4.636482,4.72015,4.665494,4.72196,4.593873,4.39752,4.663391,4.591294,4.972334,4.622613,4.533465,4.292912,4.627515,4.435662,4.521921,4.395415,4.491681,4.500314
FOXF2,4.52534,4.81869,4.936654,4.772364,4.921325,4.825912,5.031065,4.687238,4.923211,4.978635,4.715889,4.862473,5.004159,5.084704,4.809082,4.851822,4.558371,4.808399,4.665814,4.939328,5.041649,4.80045,4.807984,4.651514,4.911662,4.928865,4.813364,5.170577,5.109775,5.503841,4.71565,4.990782,5.32244,5.54519,4.846133,4.909943,4.991391,4.865986,5.05442,4.720401,4.282241,4.653302,4.668416,4.938266,4.763126,4.624448,4.67358,4.927086,4.884096,5.162308
